comments,emotion
Excited to start a new chapter in life,happy
Feeling heartbroken after a breakup,sad
Angry at the constant traffic jams,angry
Proud of my child's achievements,proud
Disgusted by the lack of hygiene in public places,disgust
Surprised by the news of a long-lost friend,surprise
Finding inner peace through meditation,calmness
Eager to try out a new recipe,happy
Overwhelmed with emotion at a family reunion,happy
Angry at the discrimination faced,angry
Proud of overcoming a personal challenge,proud
Disgusted by the pollution in the city,disgust
Surprised by the beauty of a sunset,surprise
Seeking tranquility in a chaotic world,calmness
Excited to watch a highly anticipated movie,happy
Feeling emotional after a touching movie,sad
Furious at the lack of action on climate change,angry
Proud of the cultural heritage of my country,proud
Appalled by the lack of respect for nature,disgust
Surprised by a sudden act of kindness,surprise
Finding peace in the midst of a bustling city,calmness
Thrilled about a promotion at work,happy
Heartbroken over the passing of a loved one,sad
Enraged by the violation of human rights,angry
Proud of the progress made in personal growth,proud
Repulsed by the sight of animal cruelty,disgust
Amazed by the generosity of strangers,surprise
Embracing the stillness of a quiet morning,calmness
Delighted by the success of a friend,happy
Feeling a sense of melancholy on a rainy day,sad
Infuriated by the lack of action on gun control,angry
Proud to belong to a supportive community,proud
Disgusted by the exploitation of natural resources,disgust
Taken aback by a sudden change in plans,surprise
Seeking solace in the beauty of nature,calmness
Ecstatic about the prospect of travel,happy
Saddened by the plight of refugees,sad
Angry at the continued racial discrimination,angry
Proud to see the progress in gender equality,proud
Appalled by the lack of access to clean water,disgust
Surprised by an unexpected encounter,surprise
Immersed in the tranquility of a forest,calmness
Enjoying the company of loved ones,happy
Feeling a sense of nostalgia on a visit to childhood places,sad
Fuming over the lack of action on poverty,angry
Proud of the diversity in my community,proud
Repulsed by the spread of misinformation,disgust
Startled by a sudden thunderstorm,surprise
Embracing the serenity of a starry night,calmness
Excited about the possibilities of the future,happy
Feeling overwhelmed by personal struggles,sad
Angry at the lack of mental health support,angry
Proud of the achievements of a loved one,proud
Disgusted by the lack of accessibility for people with disabilities,disgust
Surprised by a random act of kindness,surprise
Finding peace in the midst of chaos,calmness
Eager to embark on a new adventure,happy
Feeling a sense of loss after a major life change,sad
Furious about the lack of action on global warming,angry
Proud of the resilience of a community in crisis,proud
Appalled by the lack of concern for animal welfare,disgust
Amazed by the beauty of a natural phenomenon,surprise
Seeking tranquility in the midst of a busy day,calmness
Excited about a new personal achievement,happy
Touched by a heartwarming gesture,sad
Angry at the lack of support for mental health awareness,angry
Proud of the progress made in overcoming personal challenges,proud
Repulsed by the lack of action on human trafficking,disgust
Surprised by an unexpected encounter with wildlife,surprise
Embracing the peace and quiet of a weekend getaway,calmness
Delighted by the news of a friend's success,happy
Feeling a sense of longing for a lost loved one,sad
