comment_id,user_id,comment_text,sentiment
1,user123,I'm genuinely happy for you! Keep shining!,happy
2,johndoe45,This is utterly disappointing. You should improve.,sad
3,sara_mills,Sending you love and support always!,supportive
4,emily_wang,This is beyond amazing! Keep it up!,happy
5,alex_07,You're such a disappointment. Grow up.,angry
6,lily_grace,You're such an inspiration to me!,supportive
7,chris_park,This is just heartbreaking. Unbelievable.,sad
8,sophie_89,Your work always makes me smile!,happy
9,sam_cook,Stop trying so hard. It's embarrassing for you.,mean
10,mia_robinson,Keep shining bright! You're truly amazing.,happy
11,zara_khan,I'm so disappointed in this. It's really sad.,sad
12,maxwell_33,You're doing great! Don't give up. Keep going!,supportive
13,lucas_smith,Your content always lifts me up!,happy
14,ella_west,You're just a waste of space. Completely useless.,angry
15,jason_li,I believe in you. Keep pushing forward!,supportive
16,phoebe_rose,This is so heartwarming. Great job!,happy
17,nate_miller,Stop polluting the internet with your garbage.,angry
18,olivia_02,You're a ray of sunshine! Keep it up.,happy
19,liam_brown,This is disappointing. You can do better.,sad
20,zoe_carter,You're amazing and don't let anyone tell you otherwise!,supportive
21,adam_tan,Your content brightens my day!,happy
22,eva_clark,Just stop. It's painful to watch.,angry
23,noah_hill,You're a true inspiration! Keep going!,supportive
24,amelia_white,I can't stop smiling at this. Great work!,happy
25,leo_garcia,You're a disgrace. Shameful.,angry
26,mia_turner,You're making a positive impact. Keep it up!,supportive
27,luca_martinez,This is so disappointing. Not what I expected.,sad
28,ava_adams,You bring so much joy to your audience!,happy
29,jack_rivera,You're just embarrassing yourself. Stop.,angry
30,isla_nguyen,Keep spreading positivity! You're doing great.,supportive
31,daniel_kim,Your content always brightens my day!,happy
32,grace_lee,This is terrible. You should be ashamed.,angry
33,owen_wilson,You're an inspiration to so many!,supportive
34,mia_jackson,This is incredibly disappointing. Let's do better.,sad
35,lucas_phillips,Your work always brings a smile to my face!,happy
36,ella_cooper,You're just a negative presence. Go away.,angry
37,logan_hall,You're making a difference. Keep it up!,supportive
38,lily_bell,This is so heartwarming. Thank you!,happy
39,sam_wright,Stop with the negativity. It's exhausting.,angry
40,ava_cook,Your positivity is infectious! Keep it up.,supportive
41,noah_roberts,This is so disappointing. I expected better.,sad
42,olivia_harris,You're a bright light in this world!,happy
